filename,width,height,class,xmin,ymin,xmax,ymax
1227.jpg,400,300,bluetriangle,27,31,97,97
1233.jpg,300,400,bluetriangle,18,0,74,56
1555.jpg,400,300,greensquare,34,25,139,131
2074.jpg,400,300,redcircle,17,6,108,88
957.jpg,300,400,greentriangle,24,21,84,72
2712.jpg,400,300,bluesquare,31,12,100,81
2706.jpg,400,300,redcircle,17,10,75,68
943.jpg,400,300,redtriangle,8,14,77,84
1569.jpg,400,300,bluetriangle,33,26,114,82
2060.jpg,300,400,redcircle,40,5,161,123
942.jpg,300,400,greensquare,39,14,117,93
2707.jpg,400,300,greentriangle,26,2,98,68
2061.jpg,300,400,bluecircle,18,6,87,75
2075.jpg,300,400,greentriangle,11,13,80,82
2713.jpg,400,300,greentriangle,15,31,91,108
956.jpg,300,400,greencircle,2,27,71,96
1554.jpg,400,300,greensquare,47,23,147,110
2049.jpg,400,300,redsquare,32,2,124,92
1540.jpg,400,300,greentriangle,30,0,96,72
1226.jpg,400,300,redcircle,6,12,60,62
981.jpg,300,400,greencircle,37,44,158,165
759.jpg,300,400,bluesquare,2,2,67,68
995.jpg,300,400,redcircle,34,25,107,98
2908.jpg,400,300,redsquare,19,23,123,127
765.jpg,400,300,redtriangle,6,19,127,81
2920.jpg,400,300,redsquare,49,47,170,168
1597.jpg,400,300,bluesquare,10,10,97,98
1583.jpg,300,400,redtriangle,10,2,101,93
2934.jpg,300,400,greencircle,21,15,110,106
771.jpg,300,400,redcircle,22,30,85,93
2263.jpg,400,300,redtriangle,24,13,85,74
2505.jpg,300,400,redsquare,36,17,157,128
598.jpg,300,400,bluesquare,3,28,105,134
1018.jpg,300,400,greensquare,9,11,87,84
2511.jpg,300,400,redtriangle,12,7,72,37
3169.jpg,400,300,bluetriangle,24,4,82,88
2277.jpg,400,300,redcircle,37,9,149,116
3141.jpg,300,400,bluetriangle,7,12,64,71
1756.jpg,300,400,redsquare,10,16,90,58
1030.jpg,300,400,redsquare,3,26,88,112
2539.jpg,400,300,bluesquare,24,15,80,71
1024.jpg,400,300,bluesquare,21,21,85,80
1742.jpg,400,300,redcircle,12,26,83,95
3155.jpg,400,300,bluecircle,42,23,160,144
1971.jpg,300,400,bluecircle,15,4,73,62
1965.jpg,300,400,greentriangle,32,17,104,63
229.jpg,300,400,greentriangle,20,16,92,53
201.jpg,400,300,greensquare,8,7,64,63
3182.jpg,300,400,greencircle,27,16,90,77
567.jpg,300,400,redsquare,28,1,87,55
573.jpg,300,400,bluecircle,17,16,96,81
2288.jpg,300,400,redcircle,25,30,146,151
3196.jpg,400,300,greensquare,6,14,113,111
1959.jpg,300,400,bluecircle,1,40,92,131
1781.jpg,400,300,greentriangle,2,8,60,64
215.jpg,300,400,redcircle,18,27,130,133
2317.jpg,400,300,redsquare,10,25,90,91
3009.jpg,300,400,redcircle,1,26,67,86
2471.jpg,300,400,redcircle,19,28,105,124
1178.jpg,300,400,greentriangle,16,2,110,66
2465.jpg,300,400,redtriangle,45,6,144,83
2303.jpg,400,300,bluetriangle,16,4,86,90
3035.jpg,400,300,bluecircle,16,24,75,85
1622.jpg,300,400,greentriangle,26,23,123,122
1144.jpg,300,400,greensquare,11,36,133,156
2459.jpg,400,300,redcircle,34,7,131,92
1150.jpg,400,300,redsquare,20,19,123,112
1636.jpg,400,300,bluesquare,9,29,87,91
3021.jpg,300,400,greensquare,10,12,96,98
349.jpg,300,400,greentriangle,3,34,89,120
1805.jpg,300,400,redcircle,25,5,81,60
1811.jpg,300,400,greentriangle,17,41,138,162
375.jpg,300,400,greencircle,42,22,163,143
1839.jpg,400,300,bluetriangle,6,44,109,181
413.jpg,300,400,redcircle,56,19,177,140
1187.jpg,400,300,greensquare,14,14,45,72
1193.jpg,400,300,greencircle,37,9,149,121
407.jpg,300,400,bluesquare,10,18,83,100
361.jpg,300,400,greentriangle,17,18,81,74
836.jpg,300,400,bluesquare,34,7,113,74
2673.jpg,300,400,greensquare,21,20,117,69
2115.jpg,400,300,redtriangle,18,22,104,109
188.jpg,400,300,bluesquare,31,2,131,88
1408.jpg,400,300,redtriangle,14,8,83,95
2101.jpg,300,400,redsquare,28,33,115,120
2667.jpg,300,400,redsquare,17,26,94,102
822.jpg,400,300,redcircle,31,27,112,101
62.jpg,300,400,bluesquare,1,24,105,128
2897.jpg,400,300,redtriangle,1,36,58,109
1346.jpg,400,300,greentriangle,23,32,110,140
1420.jpg,300,400,bluesquare,16,40,86,123
2129.jpg,400,300,bluesquare,23,8,81,38
1434.jpg,300,400,bluecircle,28,22,101,95
1352.jpg,400,300,bluetriangle,23,22,92,91
2883.jpg,300,400,bluetriangle,31,26,127,79
2868.jpg,400,300,redcircle,24,26,85,87
639.jpg,400,300,bluecircle,14,33,111,128
1385.jpg,300,400,bluesquare,2,23,62,75
611.jpg,400,300,greensquare,17,36,133,147
89.jpg,400,300,greensquare,33,38,146,150
2854.jpg,400,300,greencircle,18,19,91,92
177.jpg,300,400,bluetriangle,7,18,71,80
163.jpg,300,400,bluecircle,13,33,90,110
2840.jpg,300,400,redsquare,28,24,88,92
2698.jpg,400,300,greencircle,23,20,96,89
605.jpg,400,300,greencircle,34,52,155,173
1391.jpg,400,300,redtriangle,24,19,115,107
175.jpg,400,300,redcircle,16,8,74,66
2856.jpg,400,300,bluecircle,27,19,92,85
613.jpg,300,400,bluesquare,24,26,96,112
1387.jpg,400,300,redcircle,30,1,105,78
1393.jpg,300,400,greensquare,19,32,131,144
607.jpg,300,400,greensquare,5,22,61,78
2842.jpg,400,300,bluetriangle,4,23,65,84
161.jpg,300,400,redsquare,40,4,126,79
149.jpg,300,400,bluetriangle,21,5,82,66
1422.jpg,400,300,bluetriangle,22,18,117,79
48.jpg,300,400,bluesquare,32,29,110,107
808.jpg,300,400,bluetriangle,10,31,159,132
2895.jpg,300,400,bluecircle,10,1,65,56
2881.jpg,300,400,greensquare,7,27,85,107
2659.jpg,300,400,greensquare,29,18,88,77
1436.jpg,300,400,redsquare,5,7,71,73
2117.jpg,300,400,greentriangle,13,29,121,155
2671.jpg,300,400,redsquare,34,2,124,92
74.jpg,400,300,bluetriangle,19,11,88,63
1378.jpg,300,400,bluetriangle,20,1,133,112
834.jpg,300,400,redcircle,31,14,106,89
60.jpg,300,400,redsquare,18,20,86,79
820.jpg,300,400,redcircle,16,33,90,114
2665.jpg,300,400,bluecircle,13,17,84,88
2103.jpg,400,300,redtriangle,7,17,74,71
1185.jpg,300,400,redcircle,21,18,112,108
411.jpg,300,400,greencircle,0,17,73,90
377.jpg,300,400,bluesquare,32,12,117,97
363.jpg,400,300,bluetriangle,20,5,74,63
2498.jpg,400,300,redtriangle,0,9,97,65
405.jpg,400,300,redtriangle,16,6,113,76
1191.jpg,400,300,redtriangle,2,6,69,69
1807.jpg,400,300,bluetriangle,8,29,85,106
1813.jpg,300,400,bluesquare,10,31,82,101
439.jpg,300,400,greencircle,10,24,76,90
1146.jpg,300,400,bluesquare,57,22,173,133
1620.jpg,400,300,greensquare,23,9,102,79
2329.jpg,400,300,redtriangle,13,19,92,78
3023.jpg,400,300,redcircle,20,21,106,105
1634.jpg,400,300,greencircle,37,45,133,141
1152.jpg,400,300,bluesquare,9,31,113,135
2473.jpg,400,300,bluetriangle,2,20,87,70
2315.jpg,400,300,greencircle,25,26,94,95
388.jpg,400,300,bluesquare,5,15,83,90
1608.jpg,300,400,redtriangle,34,25,102,104
2301.jpg,400,300,bluecircle,28,6,89,67
2467.jpg,400,300,bluesquare,44,37,141,134
565.jpg,400,300,greentriangle,43,12,190,115
3180.jpg,400,300,greensquare,9,22,66,74
1797.jpg,400,300,greentriangle,8,4,84,44
203.jpg,400,300,bluesquare,15,2,83,54
217.jpg,300,400,greencircle,19,21,77,73
1783.jpg,400,300,bluetriangle,15,19,94,72
3194.jpg,400,300,greentriangle,19,7,99,61
571.jpg,400,300,greentriangle,26,25,103,100
559.jpg,300,400,bluecircle,3,6,76,78
1973.jpg,300,400,bluecircle,15,50,127,162
1967.jpg,400,300,redtriangle,29,2,87,65
1032.jpg,400,300,bluetriangle,37,32,117,109
1754.jpg,400,300,bluecircle,6,7,64,70
3143.jpg,400,300,greencircle,32,19,114,93
2249.jpg,400,300,greensquare,34,28,135,129
3157.jpg,300,400,redsquare,3,9,60,63
1998.jpg,400,300,greentriangle,29,15,87,54
1740.jpg,300,400,redcircle,9,28,78,97
1026.jpg,300,400,bluecircle,29,5,115,91
2507.jpg,400,300,redcircle,16,43,124,155
2261.jpg,400,300,redsquare,1,3,137,139
1768.jpg,400,300,redtriangle,45,3,163,148
2275.jpg,400,300,bluecircle,2,26,60,84
2513.jpg,400,300,greentriangle,42,24,163,145
1595.jpg,300,400,greentriangle,14,43,126,154
2922.jpg,400,300,greentriangle,0,24,86,110
767.jpg,400,300,bluetriangle,15,39,81,120
773.jpg,300,400,redtriangle,47,6,142,97
2936.jpg,300,400,greensquare,1,17,73,54
2088.jpg,400,300,bluetriangle,6,30,67,91
1581.jpg,300,400,bluesquare,13,42,100,127
983.jpg,300,400,greentriangle,7,2,92,45
997.jpg,300,400,greencircle,49,15,152,118
1556.jpg,400,300,bluetriangle,20,27,168,143
1230.jpg,400,300,bluetriangle,8,32,58,107
2739.jpg,400,300,bluesquare,1,11,88,116
968.jpg,400,300,redcircle,16,23,79,79
1224.jpg,300,400,redcircle,3,19,80,79
1542.jpg,300,400,greensquare,19,19,84,78
2063.jpg,300,400,bluesquare,54,13,188,147
2705.jpg,400,300,redsquare,42,43,163,164
940.jpg,400,300,greentriangle,28,16,84,72
798.jpg,300,400,bluesquare,17,10,73,69
954.jpg,400,300,greensquare,26,20,133,127
2711.jpg,400,300,redtriangle,28,36,136,123
2077.jpg,400,300,redtriangle,30,26,127,125
2710.jpg,300,400,greensquare,33,42,150,159
1219.jpg,300,400,greencircle,5,49,104,148
955.jpg,400,300,greensquare,7,18,89,100
2076.jpg,300,400,greensquare,22,9,113,100
2062.jpg,400,300,bluetriangle,14,7,96,79
799.jpg,300,400,bluesquare,19,24,157,133
941.jpg,300,400,bluecircle,19,23,100,104
2704.jpg,300,400,greensquare,47,24,146,110
1225.jpg,400,300,redtriangle,36,21,111,87
969.jpg,400,300,greensquare,31,37,124,130
1543.jpg,400,300,greencircle,27,45,148,166
1557.jpg,300,400,bluecircle,29,33,129,133
2738.jpg,300,400,greensquare,1,6,101,95
1231.jpg,400,300,redsquare,6,30,135,134
996.jpg,300,400,redtriangle,51,30,153,135
982.jpg,400,300,redsquare,24,8,105,87
2937.jpg,300,400,redcircle,13,0,90,67
772.jpg,400,300,redtriangle,15,16,92,69
1580.jpg,300,400,greencircle,13,9,79,75
2089.jpg,300,400,redtriangle,7,50,119,166
1594.jpg,300,400,redtriangle,19,3,88,72
766.jpg,400,300,bluecircle,0,27,58,85
2923.jpg,400,300,redtriangle,2,20,61,78
2274.jpg,400,300,greentriangle,10,29,87,106
2512.jpg,400,300,redsquare,4,24,62,82
2506.jpg,300,400,redsquare,34,39,194,199
1769.jpg,300,400,bluecircle,23,32,120,128
2260.jpg,400,300,redtriangle,4,5,96,59
1741.jpg,300,400,bluesquare,33,30,109,106
1999.jpg,400,300,greentriangle,11,26,79,79
3156.jpg,400,300,bluecircle,8,16,80,89
2248.jpg,400,300,bluetriangle,20,9,83,72
1027.jpg,400,300,greencircle,36,37,133,133
1033.jpg,400,300,greensquare,19,59,149,184
1755.jpg,300,400,redtriangle,10,0,131,61
1966.jpg,300,400,bluetriangle,36,32,166,107
558.jpg,400,300,bluecircle,14,25,118,129
1972.jpg,400,300,greencircle,37,27,141,130
3195.jpg,400,300,greencircle,8,10,85,87
1782.jpg,400,300,bluecircle,48,36,151,139
216.jpg,400,300,bluetriangle,3,34,80,102
570.jpg,300,400,greentriangle,14,11,80,45
564.jpg,300,400,greentriangle,25,25,104,116
202.jpg,300,400,greencircle,24,12,105,93
1796.jpg,300,400,bluesquare,18,39,142,156
2300.jpg,400,300,greencircle,15,21,106,93
1609.jpg,400,300,redtriangle,32,28,100,85
2466.jpg,300,400,redsquare,32,7,101,76
389.jpg,300,400,bluecircle,4,8,78,82
2314.jpg,300,400,greensquare,35,24,108,102
1635.jpg,300,400,redtriangle,9,16,85,98
1153.jpg,300,400,redsquare,6,26,95,115
1147.jpg,400,300,redsquare,26,26,163,167
2328.jpg,400,300,redtriangle,42,48,139,147
3036.jpg,300,400,bluesquare,17,31,142,142
1621.jpg,400,300,bluetriangle,20,3,91,76
1812.jpg,400,300,redtriangle,33,6,131,78
438.jpg,400,300,greensquare,30,26,164,164
362.jpg,300,400,greentriangle,30,19,99,57
1190.jpg,300,400,greensquare,0,12,73,85
404.jpg,300,400,bluecircle,14,19,63,85
2499.jpg,300,400,greencircle,25,3,89,69
410.jpg,300,400,redsquare,20,8,77,61
1184.jpg,300,400,bluetriangle,6,9,50,69
376.jpg,400,300,redsquare,5,53,120,164
2664.jpg,400,300,redtriangle,45,37,157,150
821.jpg,400,300,bluecircle,50,46,170,166
61.jpg,400,300,bluecircle,35,38,156,158
2102.jpg,400,300,redcircle,10,14,79,78
2116.jpg,400,300,bluecircle,35,28,116,109
835.jpg,400,300,bluesquare,25,20,106,101
1379.jpg,400,300,redcircle,5,17,58,77
75.jpg,400,300,redtriangle,0,19,78,72
2670.jpg,400,300,redcircle,35,1,126,82
1351.jpg,300,400,redcircle,33,11,119,97
2658.jpg,300,400,bluesquare,40,43,145,146
2880.jpg,300,400,bluesquare,13,30,85,102
1437.jpg,400,300,redcircle,24,3,93,67
1423.jpg,300,400,redcircle,31,34,122,122
2894.jpg,300,400,redcircle,7,17,68,65
809.jpg,300,400,redtriangle,18,23,89,81
1345.jpg,400,300,redtriangle,11,24,87,107
49.jpg,300,400,greensquare,14,15,74,48
148.jpg,300,400,greencircle,23,42,126,145
2843.jpg,300,400,bluetriangle,21,26,70,102
606.jpg,300,400,redtriangle,29,3,110,88
1392.jpg,300,400,bluecircle,11,20,75,80
160.jpg,300,400,redsquare,44,26,134,104
174.jpg,400,300,bluetriangle,45,3,164,126
1386.jpg,300,400,redcircle,24,21,82,79
612.jpg,400,300,bluecircle,1,6,109,114
2857.jpg,300,400,bluetriangle,25,17,112,72
158.jpg,400,300,greentriangle,48,34,158,105
2853.jpg,300,400,redcircle,30,29,121,103
616.jpg,400,300,greensquare,12,44,92,138
170.jpg,400,300,bluesquare,10,9,44,69
164.jpg,300,400,greensquare,30,9,116,97
1396.jpg,400,300,bluecircle,8,1,71,64
602.jpg,300,400,bluecircle,12,14,73,65
2847.jpg,300,400,greensquare,0,39,97,136
2674.jpg,300,400,greensquare,41,4,182,143
71.jpg,300,400,redcircle,9,3,72,65
831.jpg,400,300,greentriangle,28,25,90,111
2112.jpg,300,400,bluetriangle,27,8,103,47
2106.jpg,400,300,redsquare,12,40,108,136
1369.jpg,400,300,redtriangle,24,11,87,45
65.jpg,400,300,greencircle,3,0,74,70
825.jpg,300,400,redsquare,36,10,116,76
2660.jpg,400,300,greensquare,29,47,146,149
1341.jpg,300,400,redsquare,18,55,139,176
2890.jpg,400,300,redsquare,24,18,99,86
1427.jpg,300,400,bluesquare,0,12,136,154
1355.jpg,400,300,bluecircle,8,14,57,73
59.jpg,400,300,bluetriangle,1,16,88,79
819.jpg,400,300,greencircle,11,30,74,93
1802.jpg,400,300,greentriangle,12,19,67,95
428.jpg,300,400,greentriangle,27,22,125,101
1816.jpg,400,300,redsquare,4,28,78,95
372.jpg,400,300,bluesquare,44,48,136,147
414.jpg,400,300,bluetriangle,22,27,76,102
2489.jpg,400,300,bluetriangle,68,33,216,135
400.jpg,400,300,greensquare,21,24,79,82
1194.jpg,400,300,bluecircle,3,48,100,145
366.jpg,400,300,greentriangle,3,20,40,78
2310.jpg,400,300,greensquare,17,31,96,110
1619.jpg,300,400,redcircle,9,21,68,80
2476.jpg,400,300,greensquare,9,2,78,71
2462.jpg,400,300,redsquare,7,47,139,181
399.jpg,400,300,greencircle,5,24,96,115
2304.jpg,400,300,redtriangle,26,15,86,46
1625.jpg,400,300,greencircle,19,22,140,143
3032.jpg,400,300,greensquare,15,15,73,73
1143.jpg,300,400,greentriangle,7,13,64,77
1157.jpg,300,400,greensquare,2,20,71,89
3026.jpg,300,400,greencircle,31,27,104,99
2338.jpg,400,300,redsquare,1,0,104,101
1631.jpg,400,300,greentriangle,47,42,180,137
1976.jpg,300,400,greensquare,25,27,83,85
548.jpg,300,400,redcircle,16,7,120,107
1962.jpg,400,300,redcircle,33,11,99,77
3185.jpg,400,300,bluesquare,17,37,105,125
1792.jpg,300,400,greencircle,29,22,92,80
206.jpg,400,300,redsquare,1,27,93,117
560.jpg,400,300,redtriangle,5,3,82,59
574.jpg,300,400,greensquare,16,15,77,76
212.jpg,400,300,bluesquare,56,1,170,115
1786.jpg,300,400,greentriangle,32,28,103,97
3191.jpg,300,400,bluetriangle,35,26,121,112
2502.jpg,400,300,greensquare,16,30,118,136
2516.jpg,400,300,greencircle,5,52,109,156
2270.jpg,300,400,greencircle,14,7,91,88
1989.jpg,400,300,greensquare,28,11,191,174
1751.jpg,300,400,greensquare,10,0,145,134
2258.jpg,300,400,redcircle,30,7,94,40
3146.jpg,400,300,redcircle,29,6,102,75
1037.jpg,300,400,bluetriangle,16,18,139,85
1023.jpg,400,300,redtriangle,20,33,104,105
3152.jpg,300,400,bluetriangle,19,27,87,85
1745.jpg,400,300,bluesquare,46,18,159,130
986.jpg,400,300,redsquare,32,18,146,132
992.jpg,400,300,bluetriangle,24,18,104,68
2927.jpg,300,400,redtriangle,33,6,129,84
762.jpg,400,300,bluesquare,3,0,63,61
2099.jpg,400,300,redsquare,30,11,107,88
1584.jpg,400,300,greensquare,37,13,115,89
776.jpg,400,300,bluesquare,39,45,130,136
945.jpg,400,300,bluecircle,3,33,98,129
1209.jpg,400,300,greencircle,13,14,75,74
2066.jpg,400,300,redtriangle,14,60,112,183
2072.jpg,400,300,redtriangle,31,22,141,98
951.jpg,400,300,redtriangle,17,2,96,62
789.jpg,400,300,redsquare,21,8,106,49
2714.jpg,300,400,bluetriangle,40,7,161,128
979.jpg,300,400,greencircle,6,16,60,74
1235.jpg,400,300,greentriangle,24,17,89,68
1553.jpg,400,300,bluesquare,26,4,100,76
1547.jpg,400,300,greentriangle,27,27,126,120
2728.jpg,300,400,redsquare,19,28,82,91
1221.jpg,300,400,greensquare,7,56,122,169
1546.jpg,400,300,bluecircle,3,25,72,93
1220.jpg,400,300,greentriangle,23,16,160,118
2729.jpg,300,400,greentriangle,24,40,146,121
1234.jpg,400,300,redtriangle,14,20,85,75
978.jpg,300,400,bluecircle,1,18,70,74
1552.jpg,400,300,bluesquare,4,26,67,89
2073.jpg,300,400,greentriangle,16,23,109,74
2715.jpg,300,400,greensquare,29,5,109,99
788.jpg,300,400,greentriangle,15,4,88,94
950.jpg,300,400,redtriangle,31,14,123,95
1208.jpg,300,400,greensquare,25,20,111,106
944.jpg,300,400,greensquare,40,31,127,114
2701.jpg,300,400,greencircle,30,8,91,69
2067.jpg,400,300,redcircle,7,15,88,89
1585.jpg,300,400,redtriangle,39,13,162,100
2932.jpg,400,300,redsquare,37,5,143,111
777.jpg,300,400,greentriangle,28,12,99,76
763.jpg,400,300,bluesquare,1,43,105,147
2926.jpg,300,400,greensquare,2,2,72,72
2098.jpg,400,300,bluetriangle,18,22,99,84
1591.jpg,400,300,bluesquare,33,5,108,66
993.jpg,300,400,bluesquare,26,14,118,102
987.jpg,300,400,bluetriangle,11,8,79,71
1022.jpg,400,300,redtriangle,15,8,65,64
1744.jpg,300,400,greentriangle,9,32,117,111
3153.jpg,400,300,greentriangle,15,35,92,112
3147.jpg,300,400,greensquare,11,11,115,115
2259.jpg,400,300,redtriangle,38,46,150,158
1750.jpg,300,400,bluesquare,10,16,66,72
1988.jpg,400,300,bluecircle,14,39,108,136
2517.jpg,400,300,redsquare,34,39,120,123
2271.jpg,400,300,redsquare,24,3,100,70
1778.jpg,400,300,bluesquare,22,30,137,146
2265.jpg,400,300,redcircle,55,24,176,145
2503.jpg,300,400,bluetriangle,47,6,141,85
575.jpg,400,300,greentriangle,5,36,81,109
3190.jpg,400,300,greencircle,32,3,117,88
1787.jpg,300,400,bluesquare,38,30,146,117
213.jpg,400,300,bluecircle,17,16,78,71
207.jpg,300,400,redtriangle,41,27,127,113
1793.jpg,300,400,bluecircle,22,3,82,63
3184.jpg,300,400,greentriangle,11,9,94,49
561.jpg,300,400,redcircle,22,42,112,132
549.jpg,300,400,greensquare,29,5,105,84
1963.jpg,400,300,redcircle,16,28,89,100
1977.jpg,400,300,greensquare,20,23,90,92
1156.jpg,300,400,bluesquare,3,20,72,85
1630.jpg,400,300,greencircle,36,15,140,119
2339.jpg,400,300,redcircle,17,19,71,73
3027.jpg,400,300,greencircle,34,26,115,107
3033.jpg,400,300,redtriangle,16,6,88,79
1624.jpg,300,400,bluesquare,15,41,127,153
1142.jpg,400,300,greentriangle,30,40,121,131
2463.jpg,400,300,redtriangle,11,22,83,72
2305.jpg,300,400,bluecircle,6,52,117,173
398.jpg,300,400,greencircle,5,0,63,56
1618.jpg,300,400,bluetriangle,11,17,103,70
2311.jpg,300,400,redsquare,5,40,71,124
2477.jpg,400,300,greensquare,16,14,76,47
1195.jpg,300,400,bluesquare,35,26,126,117
401.jpg,300,400,redtriangle,21,2,78,72
367.jpg,400,300,greensquare,14,5,116,107
373.jpg,400,300,redsquare,30,22,107,107
2488.jpg,300,400,greencircle,28,4,109,85
415.jpg,400,300,greensquare,14,33,106,128
1817.jpg,300,400,greencircle,1,17,67,83
1803.jpg,300,400,greensquare,15,36,101,122
429.jpg,300,400,bluecircle,24,21,85,80
1432.jpg,400,300,greencircle,8,3,81,76
818.jpg,300,400,greencircle,6,34,75,103
58.jpg,400,300,redcircle,21,29,118,118
1354.jpg,300,400,bluesquare,18,13,128,111
2885.jpg,400,300,redsquare,32,26,123,117
2649.jpg,300,400,redcircle,7,16,80,88
2891.jpg,300,400,greencircle,32,13,144,115
1340.jpg,400,300,redtriangle,9,26,40,89
1426.jpg,400,300,redcircle,29,1,92,64
2107.jpg,400,300,greencircle,23,27,89,93
2661.jpg,400,300,bluecircle,1,48,105,152
824.jpg,400,300,greensquare,17,32,60,101
64.jpg,300,400,greentriangle,27,7,104,103
1368.jpg,400,300,bluetriangle,2,4,72,74
830.jpg,400,300,bluecircle,0,19,86,105
70.jpg,300,400,greentriangle,9,21,80,86
2675.jpg,300,400,bluecircle,15,16,70,72
2113.jpg,300,400,greensquare,22,34,90,102
165.jpg,300,400,redcircle,7,15,76,84
2846.jpg,300,400,redcircle,36,44,124,132
603.jpg,400,300,greencircle,3,0,80,86
1397.jpg,400,300,greentriangle,10,17,82,136
1383.jpg,400,300,redtriangle,7,23,84,100
617.jpg,300,400,bluecircle,7,8,70,120
2852.jpg,400,300,redtriangle,25,17,102,72
171.jpg,400,300,greentriangle,6,21,80,93
2878.jpg,400,300,greencircle,17,1,78,54
629.jpg,300,400,redcircle,7,22,70,85
1395.jpg,400,300,greensquare,58,2,174,104
601.jpg,400,300,redsquare,43,15,139,69
99.jpg,400,300,greensquare,38,45,154,145
2844.jpg,300,400,greencircle,1,14,59,72
167.jpg,300,400,redsquare,30,29,123,126
2688.jpg,400,300,redcircle,16,11,80,60
2850.jpg,300,400,redsquare,26,24,107,105
615.jpg,400,300,bluecircle,8,8,69,69
1381.jpg,300,400,greensquare,23,35,125,140
66.jpg,400,300,redsquare,28,19,88,69
826.jpg,400,300,greencircle,2,13,48,69
2663.jpg,300,400,redcircle,36,19,148,131
2105.jpg,300,400,bluetriangle,36,19,112,69
